"Автор","Год_первой_публикации","Год_последней_публикации","Длительность.сотрудничества..лет.","Количество_номеров","Всего_стихотворений","Суммарное_количество_страниц","Полное.ФИО..id.","Пол","Год.рождения","Год.смерти","Возраст.первой.публикации.в.Юности","Ссылка.на.Википедию","адрес.страницы.в.википедии","Если.нет.на.wiki..то.иная.ссылка.на.биографию","ссылка.на.фото","ссылка.на.песню.на.стихи","Название","Исполнитель","X","Текст"
"Шкляревский Игорь",1965,1974,10,10,69,72,"Шкляревский Игорь Иванович",NA,1938,2021,28,"Шкляревский Игорь Иванович","https://ru.wikipedia.org/wiki/Шкляревский,_Игорь_Иванович","","https://upload.wikimedia.org/wikipedia/ru/thumb/5/5f/%D0%A8%D0%BA%D0%BB%D1%8F%D1%80%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87.jpg/250px-%D0%A8%D0%BA%D0%BB%D1%8F%D1%80%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87.jpg","https://fine.sunproxy.net/file/ZTN2Z2M0OWlqSGxCdWplQW5IenBmNjJCTFpQZlZGRis4RURFbWFWdksxVnE5VVVCUzhLWndhLzdRQzhPb1FpaVRtZnhOVmV6Z2doa3hiT3VrcEpXcjJWNEY0Z2Q4QTRyU213MGZPVnVWTjA9/Nani_Bregvadze_-_Osen_prislala_mne_pisma_YA._Frenkel_-_I._SHklyarevskij_(SkySound.cc).mp3","Осень прислала мне письма","Нани Брегвадзе","","Осень стоит за рекою.
Ящик почтовый открою,-
выпадут желтые листья.
Осень прислала мне письма.
Осень уже у порога.
Сердце кольнула тревога.
Все мы в делах закружились.
Письма писать разучились.
Чей-то отец одинокий
в домике возле дороги
ящик пустой открывает.
Желтый листок выпадает...
В сумерках долгой разлуки
матери слабые руки
ящик открыли почтовый...
Что ей звонки и обновы?
В пору такую,бывало,
в школу тебя провожала
чтобы писать научился
и на слова не скупился.
Как ты еще пожалеешь...
Ты еще сам постареешь.
С тихим шуршаньем и звоном
осень придет почтальоном."
"Шаламов Варлам",1965,1974,10,10,64,65,"Шаламов Варлам Тихонович",NA,1907,1982,59,"Шаламов Варлам Тихонович","https://ru.wikipedia.org/wiki/Шаламов,_Варлам_Тихонович","","https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Varlam_Shalamov-NKVD_crooped.jpg/250px-Varlam_Shalamov-NKVD_crooped.jpg","https://data.zvyki.com/file/86780009/WDdzS3YyeHNkK0lqdHNLYm92eGlnMGhEL2FZMDdLeWRndWJDM045enlTMUlHaUpyekJSTVIxSXpabmI2VnpTYnVTSnF4SS9uUjhtMXRXQTYrZ09qRnNoQy9FNTdBbnVaQ0FKVmQyNFFHa3VpbTZyUmw3K3NVQkxaSmVCazU1b1M/Varlam_SHalamov_-_Vsyu_noch_on_truditsya_uporno_._CHitaet_avtor._(Zvyki.com).mp3","Всю ночь он трудится упорно","Варлам Шаламов","","Всю ночь он трудится упорно
И на бумажные листки
Как бы провеивает зерна
Доспевшей, вызревшей тоски.

Сор легкомысленного слова,
Клочки житейской шелухи
Взлетают кверху, как полова,
Когда слагаются стихи.

Его посев подобен жатве.
Он, собирая, отдает
Признанья, жалобы и клятвы
И неизбежно слезы льет.

Тем больше слез, тем больше плача,
Глухих рыданий невзначай,
Чем тяжелее и богаче
Его посев и урожай."
"Злотников Натан",1963,1974,12,8,69,71,"Злотников Натан Маркович",NA,1934,2006,30,"Злотников Натан Маркович","https://ru.wikipedia.org/wiki/Злотников,_Натан_Маркович","","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/40px-Flag_of_the_Soviet_Union.svg.png","","","","",""
"Кулиев Кайсын",1962,1974,13,14,85,89,"Кулиев Кайсын Шуваевич",NA,1917,1985,46,"Кулиев Кайсын Шуваевич","https://ru.wikipedia.org/wiki/Кулиев,_Кайсын_Шуваевич","","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Kaisyn_Kuliev_0041.jpg/330px-Kaisyn_Kuliev_0041.jpg","https://fine.sunproxy.net/file/YVpzcVh4cVdyR2NZa1YwZWpHRUtGVCtlcEI0d3V3RWJmcVBvempaRitKKzVkZ3E3SHhCVWRJL1BQRlovKys1RGJaR05aUzYxWDVMNlBidVZzS3YwUGEzNkJJSk1Oc3l4ZHBzSSsrZ2RZcWs9/Kajsyn_Kuliev_-_Kak_horosho_prosnutsya_na_rassvete_(SkySound.cc).mp3","Как хорошо проснуться на рассвете","?","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Kaisyn_Kuliev_0041.jpg/330px-Kaisyn_Kuliev_0041.jpg","Как хорошо проснуться на рассвете,
Глядеть на мир, за птицами следить
И знать, что выше счастья жить на свете
На свете ничего не может быть.

Какое счастье утром пробудиться,
Увидеть гребни гор издалека.
Увидеть, как над зрелою пшеницей
Неспешно проплывают облака.

Какое это счастье, что ты можешь
Смотреть на дорогих тебе людей,

На землю, чьи черты святые схожи
С чертами старой матери твоей.

Прекрасно всё, что просто, всё, что сложно,
И как не восхищаться нам с тобой
Любой земною тварью, пусть ничтожной,
Её неповторимой красотой!

Прекрасно всё: и сокол, и кузнечик,
Зелёный и желтеющий листок,
И дождь, и снегопад, и чёт и нечет,
Всё, что приходит в срок или не в срок.

Как хорошо проснуться на рассвете,
Глядеть на этот мир, за птицами следить
И знать, что выше счастья жить на свете
На свете ничего не может быть!"
"Слуцкий Борис",1961,1974,14,17,104,110,"Слуцкий Борис Абрамович",NA,1919,1986,43,"Слуцкий Борис Абрамович","https://ru.wikipedia.org/wiki/Слуцкий,_Борис_Абрамович","","https://upload.wikimedia.org/wikipedia/ru/thumb/9/91/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%A1%D0%BB%D1%83%D1%86%D0%BA%D0%B8%D0%B9.jpg/250px-%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%A1%D0%BB%D1%83%D1%86%D0%BA%D0%B8%D0%B9.jpg","https://fine.sunproxy.net/file/YVpzcVh4cVdyR2NZa1YwZWpHRUtGVCtlcEI0d3V3RWJmcVBvempaRitKKzVkZ3E3SHhCVWRJL1BQRlovKys1RFMxQmN1Sy9scjVxWitTNjFkcWpnRE1rMjRhcnA3YmRESGI0TXNUUFgxZFU9/Vladimir_Syskov_-_Boris_Sluckij._CHto_vy_zvezdy_(SkySound.cc).mp3","Что вы звезды","Владимир Сысков","https://upload.wikimedia.org/wikipedia/ru/thumb/9/91/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%A1%D0%BB%D1%83%D1%86%D0%BA%D0%B8%D0%B9.jpg/250px-%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%A1%D0%BB%D1%83%D1%86%D0%BA%D0%B8%D0%B9.jpg","- Что вы, звезды?
- Мы просто светим.
- Для чего?
- Нам просто светло. -
Удрученный ответом этим,
самочувствую тяжело.

Я свое свечение слабое
обуславливал
то ли славою,
то ли тем, что приказано мне,
то ли тем, что нужно стране.

Оказалось, что можно просто
делать так, как делают звезды:
излучать без претензий свет.
Цели нет и смысла нет.

Нету смысла и нету цели,
да и светишь ты еле-еле,
озаряя полметра пути.
Так что не трепись, а свети."
"Мориц Юнна",1960,1974,15,15,72,79,"Мориц Юнна Петровна",NA,1937,NA,24,"Мориц Юнна Петровна","https://ru.wikipedia.org/wiki/Мориц,_Юнна_Петровна","","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Yunna_Morits2.jpg/312px-Yunna_Morits2.jpg","https://fine.sunproxy.net/file/YVpzcVh4cVdyR2NZa1YwZWpHRUtGVCtlcEI0d3V3RWJmcVBvempaRitKKzVkZ3E3SHhCVWRJL1BQRlovKys1RHpJbG1meTJjUHVXQ2JlUDZhTjJTd25oRTJwSWtLRnlQSWFMS3IrVXozSms9/Sobaka_byvaet_kusachej_-_Iz_m_f_Bolshoj_sekret_dlya_malenkoj_kompanii_(SkySound.cc).mp3","Собака бывает кусачей","Сергей и Татьяна Никитины","https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Yunna_Morits2.jpg/312px-Yunna_Morits2.jpg","Собака бывает кусачей
Только от жизни собачьей,
Только от жизни собачьей
Собака бывает кусачей!

Собака хватает
Зубами за пятку,
Собака съедает
Гражданку Лошадку
И с ней гражданина Кота,
Когда проживает
Собака не в будке,
Когда у неё завывает
В желудке,
И каждому ясно,
Что эта собака -
Кру-у-у-глая сирота.

Никто не хватает
Зубами за пятку,
Никто не съедает
Гражданку Лошадку
И с ней гражданина Кота,
Когда у собаки
Есть будка и миска,
Ошейник, луна
И в желудке сосиска.
И каждому ясно,
Что эта собака -
Не круглая сирота!

Собака несчастная -
Очень опасна,
Ведь ей не везёт
В этой жизни
Ужасно,
Ужасно, как ей не везёт!
Поэтому лает она,
Как собака.
Поэтому злая она,
Как собака.
И каждому ясно,
Что эта собака
Всех без разбору
Грызёт!

Прекрасна собака,
Сидящая в будке!
У ней расцветают в душе
Незабудки,
В желудке играет кларнет!
Но шутки
С бродячей собакой бездомной
Опасны, особенно
Полночью тёмной, -
Вот самый собачий,
Вот самый огромный,
Огромный Собачий Секрет!

Собака бывает кусачей
Только от жизни собачьей,
Только от жизни собачьей
Собака бывает кусачей!"
"Куняев Станислав",1960,1974,15,11,53,57,"Куняев Станислав Юрьевич",NA,1932,NA,29,"Куняев Станислав Юрьевич","https://ru.wikipedia.org/wiki/Куняев,_Станислав_Юрьевич","","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Stanislav_Kunyaev_3.jpg/250px-Stanislav_Kunyaev_3.jpg","https://fine.sunproxy.net/file/ZTN2Z2M0OWlqSGxCdWplQW5IenBmNjJCTFpQZlZGRis4RURFbWFWdksxVnE5VVVCUzhLWndhLzdRQzhPb1FpaVY0WkxsRUJvaGh6NG12WTE1WGlieDJrODVQQzVaL0hCbkZxV1gyMTdhbFU9/Stanislav_Kunyaev_-_Stihi_ispolnyaet_avtor_(SkySound.cc).mp3","Добро должно быть с кулаками","Станислав Куняев","","Добро должно быть с кулаками.
Добро суровым быть должно,
чтобы летела шерсть клоками
со всех, кто лезет на добро.


Добро не жалость и не слабость.
Добром дробят замки оков.
Добро не слякоть и не святость,
не отпущение грехов.


Быть добрым не всегда удобно,
принять не просто вывод тот,
что дробно-дробно, добро-добро
умел работать пулемёт,


что смысл истории в конечном
в добротном действии одном —
спокойно вышибать коленом
добру не сдавшихся добром!"
"Долматовский Евгений",1960,1971,12,8,54,65,"Долматовский Евгений Аронович",NA,1915,1994,46,"Долматовский Евгений Аронович","https://ru.wikipedia.org/wiki/Долматовский,_Евгений_Аронович","","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/2-Evgenii-Aronovich-Dolmatovskii.jpg/330px-2-Evgenii-Aronovich-Dolmatovskii.jpg","https://fine.sunproxy.net/file/YVpzcVh4cVdyR2NZa1YwZWpHRUtGVCtlcEI0d3V3RWJmcVBvempaRitKKzVkZ3E3SHhCVWRJL1BQRlovKys1RFZRRDgzcllXL0xHTHFmTTFyUysvWC9DTGp0RStKOXZnWGkrUC9EMEt6QzQ9/Oleg_Pogudin_-_Noch_korotka_spyat_oblaka_muz._M.Fradkina_sl._E.Dolmatovskogo_(SkySound.cc).mp3","Случайный вальс","Олег Погудин","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/2-Evgenii-Aronovich-Dolmatovskii.jpg/330px-2-Evgenii-Aronovich-Dolmatovskii.jpg",""
"Шефнер Вадим",1959,1974,16,11,51,53,"Шефнер Вадим Сергеевич",NA,1914,2002,46,"Шефнер Вадим Сергеевич","https://ru.wikipedia.org/wiki/Шефнер,_Вадим_Сергеевич","","https://upload.wikimedia.org/wikipedia/ru/thumb/8/8c/%D0%A8%D0%B5%D1%84%D0%BD%D0%B5%D1%80_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC_%D1%81%D0%BE%D0%B2.%D0%BF%D0%BE%D1%8D%D1%82_%D0%B4%D0%BE_1967.jpg/330px-%D0%A8%D0%B5%D1%84%D0%BD%D0%B5%D1%80_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC_%D1%81%D0%BE%D0%B2.%D0%BF%D0%BE%D1%8D%D1%82_%D0%B4%D0%BE_1967.jpg","https://fine.sunproxy.net/file/YVpzcVh4cVdyR2NZa1YwZWpHRUtGVCtlcEI0d3V3RWJmcVBvempaRitKKzVkZ3E3SHhCVWRJL1BQRlovKys1RDkyZWpEMHRVOTlWdHJYcGhmYUc5ZGM0eHV4d1g2alpQVUlLQ1FuSlQ5UDg9/Aleksandr_Tarhanov_TAO_-_Lilit_slova_Vadim_SHefner_muzyka_TAO_(SkySound.cc).mp3","Лилит","Александр Тарханов","https://upload.wikimedia.org/wikipedia/ru/thumb/8/8c/%D0%A8%D0%B5%D1%84%D0%BD%D0%B5%D1%80_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC_%D1%81%D0%BE%D0%B2.%D0%BF%D0%BE%D1%8D%D1%82_%D0%B4%D0%BE_1967.jpg/330px-%D0%A8%D0%B5%D1%84%D0%BD%D0%B5%D1%80_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC_%D1%81%D0%BE%D0%B2.%D0%BF%D0%BE%D1%8D%D1%82_%D0%B4%D0%BE_1967.jpg","1.

Что предание говорит?
Прежде Евы была Лилит.

Прежде Евы Лилит была
Та, что яблока не рвала, -

Не женой была, не женой, -
Стороной прошла, стороной.

Не из глины, не из ребра -
Из рассветного серебра.

Улыбнулась из тростника -
И пропала на все века.

2.

Всё в раю как будто бы есть,
Да чего-то как будто нет.
Всё здесь можно и пить и есть -
На одно лишь в раю запрет.

Ходит Ева средь райских роз,
Светит яблоко из ветвей.
Прямо с яблони змей-завхоз
Искушающе шепчет ей:

- Слушай, я же не укушу,
Скушай яблочко задарма,
Я в усушку его спишу -
Мы ведь тоже не без ума.

Ева яблоко сорвала -
Затуманился райский дол.
Бог ракеты ""небо - земля""
На искомый квадрат навел.

Бог на красные кнопки жмёт -
Пламя райские рощи жнёт.
Бог на пульте включил реле -
Больше рая нет на земле.

Убегает с Евой Адам -
Дым и пепел по их следам.

3.

У Адама с Евой - семья,
Подрастающие сыновья.

Скот мычит, колосится рожь,
Дремлет Авель, сев на пенёк,

Каин в ёлку втыкает нож -
Тренируется паренёк.

Объезжает Адам коней,
Конструирует первый плот.

- А в раю-то было скучней -
Ты помог нам, запретный плод!

А в раю-то было пресней, -
Заработанный хлеб - вкусней.

А в раю-то мы спали врозь, -
Это рай - оторви да брось!

4.

Улетающие журавли
Прокурлыкали над рекой,
Электричка прошла вдали -
И опять на земле покой.

На рыбалке Адам сидит,
Сквозь огонь в темноту глядит.

Кто там плачет в костре ночном,
Косы рыжие разметав?
Кто грустит в тростнике речном,
Шелестит в осенних кустах?

Кто из облака смотрит вниз,
Затмевая красой луну?
Кто из омута смотрит ввысь
И заманивает в глубину?

Никого там, по правде, нет, -
Только тени и лунный свет.

Не женой была, не женой, -
Стороной прошла, стороной.

***
Никогда не придёт Лилит,
А забыть себя не велит.
"
"Дмитриев Олег",1958,1974,17,24,79,97,"Дмитриев Олег Михайлович",NA,1937,1993,22,"Дмитриев Олег Михайлович","https://ru.wikipedia.org/wiki/Дмитриев,_Олег_Михайлович","","https://upload.wikimedia.org/wikipedia/ru/thumb/5/57/%D0%9E%D0%BB%D0%B5%D0%B3_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2.jpg/330px-%D0%9E%D0%BB%D0%B5%D0%B3_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2.jpg","https://fine.sunproxy.net/file/YVpzcVh4cVdyR2NZa1YwZWpHRUtGVCtlcEI0d3V3RWJmcVBvempaRitKKzVkZ3E3SHhCVWRJL1BQRlovKys1RHkzOU0zMnhrckl6YkZZL2NVUGhsbXBmaHU1cFBpTEhESnhPVXlPOXU3SWc9/Anatolij_Lemysh_-_Vratar_sl._Oleg_Dmitriev_(SkySound.cc).mp3","Вратарь","Анатолий Лемыш","https://upload.wikimedia.org/wikipedia/ru/thumb/5/57/%D0%9E%D0%BB%D0%B5%D0%B3_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2.jpg/330px-%D0%9E%D0%BB%D0%B5%D0%B3_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2.jpg","Без судьи, без церемониала
Начиналась вечером игра.
Сборная соседнего квартала
Вышла против нашего двора.
Мы не сомневаемся нисколько –
Им у нас не выиграть вовек!
Но встаёт у них в ворота Колька.
Коля Сажин – это человек!
Он пришёл недавно, в сорок пятом.
Он кумир окрестных всех дворов:
До войны, как говорят ребята,
Он играл в команде мастеров.
Мы, мальчишки, встали за ворота,
Затаив дыхание глядим
И болеем, позабыв все счёты,
За него, за Колю, как один!
Закипела битва, разгораясь,
Над площадкой заклубилась пыль…
На костыль стоял он опираясь!
Как прорыв – отбрасывал костыль…
Наши прорываются, и с края
Мяч идёт кручёный, навесной –
Коля сразу сжался, приседая
На своей, на правой, на одной!
Он качался, будто у дороги
Рыжий одуванчик на стебле,
А потом вдруг ловко падал в ноги,
Грудью прижимая мяч к земле.
Брюки он отряхивал от пыли,
К костылю тянулся своему…
Наши нападающие били
Только лишь под правую ему.
Он стоял как надо, Коля Сажин!
Он штрафной отбил на угловой,
Он такие брал мячи, что даже
Сам качал, не веря, головой…
Он своим рукой махал небрежно
И заплаты старого мяча,
Перед тем как выбить, трогал нежно.
А когда, сраженье прерывая,
На поляну летний сумрак лёг,
Он один поковылял к трамваю,
На глаза надвинув козырёк.
Мы ребят своих не укоряли,
Ничего не ставили в вину…
И не жаль, что наши проиграли,
Если Коля выиграл
Войну."
